epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2023.96,0.92721,1.10568,1.22113,0.63784,0.59033,0.65438,0.38334,1.40786,1.90733,1.73785,0.0005941,0.0005941,0.0005941
43,2074.48,0.9086,1.10345,1.21151,0.65065,0.61734,0.62916,0.37337,1.47436,1.92716,1.77548,0.0005842,0.0005842,0.0005842
44,2125.01,0.86805,1.07818,1.17142,0.57896,0.67299,0.65053,0.40383,1.42235,1.89219,1.6976,0.0005743,0.0005743,0.0005743
45,2176.26,0.85676,1.0462,1.16494,0.70981,0.61855,0.70624,0.44611,1.4242,1.85348,1.75657,0.0005644,0.0005644,0.0005644
46,2225.45,0.84136,1.02653,1.15985,0.76808,0.6034,0.66161,0.41231,1.44053,1.97209,1.81076,0.0005545,0.0005545,0.0005545
47,2275.27,0.90165,1.03112,1.19224,0.76784,0.56513,0.647,0.41281,1.42621,1.88058,1.81663,0.0005446,0.0005446,0.0005446
48,2324.21,0.8591,1.00039,1.1639,0.72024,0.61332,0.65197,0.39255,1.50209,1.89646,1.8328,0.0005347,0.0005347,0.0005347
49,2372.63,0.88633,1.02118,1.18033,0.71229,0.58886,0.66342,0.42398,1.42354,1.89776,1.73792,0.0005248,0.0005248,0.0005248
50,2422.17,0.84745,0.98124,1.16499,0.61166,0.60963,0.64487,0.39596,1.45805,1.93727,1.79904,0.0005149,0.0005149,0.0005149
51,2472.07,0.86222,0.99273,1.16611,0.67453,0.56224,0.66481,0.40383,1.41195,1.88556,1.7447,0.000505,0.000505,0.000505
52,2520.91,0.80264,0.9132,1.12543,0.6986,0.63607,0.68129,0.4272,1.38747,1.78599,1.67293,0.0004951,0.0004951,0.0004951
53,2569.13,0.81894,0.92542,1.14004,0.77387,0.58589,0.68615,0.42927,1.36754,1.75579,1.69491,0.0004852,0.0004852,0.0004852
54,2617.79,0.80544,0.93137,1.15676,0.73617,0.66617,0.70317,0.43535,1.39445,1.78936,1.71912,0.0004753,0.0004753,0.0004753
55,2664.73,0.80028,0.91586,1.12248,0.82107,0.58774,0.70981,0.44212,1.37268,1.74657,1.70082,0.0004654,0.0004654,0.0004654
56,2705.26,0.78587,0.89854,1.11433,0.75796,0.65382,0.71136,0.46171,1.40621,1.74342,1.71931,0.0004555,0.0004555,0.0004555
57,2746.68,0.79712,0.90454,1.1301,0.80693,0.63622,0.69764,0.42313,1.49505,1.84994,1.79625,0.0004456,0.0004456,0.0004456
58,2787.21,0.77629,0.91309,1.1328,0.81241,0.65203,0.7163,0.45256,1.44369,1.76868,1.73827,0.0004357,0.0004357,0.0004357
59,2827.44,0.78701,0.88732,1.11787,0.76132,0.6031,0.70115,0.44168,1.4143,1.82406,1.71296,0.0004258,0.0004258,0.0004258
60,2866.89,0.79232,0.88491,1.12352,0.786,0.66713,0.72478,0.47048,1.35592,1.75187,1.66746,0.0004159,0.0004159,0.0004159
61,2912,0.7764,0.87893,1.1146,0.81749,0.61001,0.73432,0.47356,1.39421,1.7107,1.70379,0.000406,0.000406,0.000406
62,2962.4,0.74608,0.83771,1.10068,0.73807,0.66418,0.73607,0.46536,1.39676,1.75232,1.69174,0.0003961,0.0003961,0.0003961
63,3013.59,0.76129,0.83674,1.09585,0.71689,0.64897,0.71526,0.45171,1.38275,1.78821,1.66677,0.0003862,0.0003862,0.0003862
64,3066.76,0.75457,0.8124,1.09362,0.68247,0.67541,0.71198,0.44778,1.39078,1.78978,1.69033,0.0003763,0.0003763,0.0003763
65,3116.75,0.73626,0.81684,1.07317,0.842,0.59952,0.72974,0.46588,1.38448,1.71252,1.69204,0.0003664,0.0003664,0.0003664
66,3165.77,0.72837,0.7962,1.08705,0.8104,0.60016,0.72741,0.45367,1.39727,1.76748,1.73644,0.0003565,0.0003565,0.0003565
67,3215.09,0.73567,0.80564,1.09793,0.83707,0.6219,0.74342,0.459,1.37902,1.70842,1.72659,0.0003466,0.0003466,0.0003466
68,3264.61,0.69968,0.79755,1.07408,0.75692,0.67265,0.74065,0.44749,1.40675,1.74739,1.71954,0.0003367,0.0003367,0.0003367
69,3313.6,0.72319,0.78064,1.073,0.64361,0.68438,0.69158,0.42786,1.37691,1.76917,1.69208,0.0003268,0.0003268,0.0003268
70,3362.45,0.69773,0.75926,1.0596,0.78702,0.56198,0.69761,0.43043,1.40001,1.76,1.69981,0.0003169,0.0003169,0.0003169
71,3410.68,0.71042,0.80161,1.07261,0.84076,0.56044,0.71538,0.46907,1.38125,1.69274,1.68863,0.000307,0.000307,0.000307
